County/City,,,"Winsome Earle Sears","Hala Sophia Ayala","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"7,838","4,954",5,"12,797"
"Albemarle County",,,"19,465","31,561",50,"51,076"
"Alexandria City",,,"13,730","43,983",103,"57,816"
"Alleghany County",,,"4,431","1,609",6,"6,046"
"Amelia County",,,"4,687","1,632",7,"6,326"
"Amherst County",,,"9,624","4,004",10,"13,638"
"Appomattox County",,,"5,922","1,460",8,"7,390"
"Arlington County",,,"21,427","72,990",174,"94,591"
"Augusta County",,,"26,259","7,196",22,"33,477"
"Bath County",,,"1,509",425,0,"1,934"
"Bedford County",,,"30,604","8,248",33,"38,885"
"Bland County",,,"2,236",389,1,"2,626"
"Botetourt County",,,"12,940","4,090",18,"17,048"
"Bristol City",,,"3,745","1,319",5,"5,069"
"Brunswick County",,,"2,866","3,193",3,"6,062"
"Buchanan County",,,"4,976",898,16,"5,890"
"Buckingham County",,,"3,883","2,224",4,"6,111"
"Buena Vista City",,,"1,415",528,3,"1,946"
"Campbell County",,,"18,058","5,050",17,"23,125"
"Caroline County",,,"6,905","5,092",11,"12,008"
"Carroll County",,,"9,720","1,999",10,"11,729"
"Charles City County",,,"1,572","1,800",1,"3,373"
"Charlotte County",,,"3,314","1,428",6,"4,748"
"Charlottesville City",,,"2,828","14,352",15,"17,195"
"Chesapeake City",,,"48,519","42,936",95,"91,550"
"Chesterfield County",,,"80,862","74,774",170,"155,806"
"Clarke County",,,"4,611","2,772",9,"7,392"
"Colonial Heights City",,,"4,852","1,784",10,"6,646"
"Covington City",,,"1,152",628,0,"1,780"
"Craig County",,,"2,034",445,8,"2,487"
"Culpeper County",,,"13,346","6,773",16,"20,135"
"Cumberland County",,,"2,677","1,521",2,"4,200"
"Danville City",,,"5,860","6,852",9,"12,721"
"Dickenson County",,,"3,796",972,2,"4,770"
"Dinwiddie County",,,"7,288","4,225",11,"11,524"
"Emporia City",,,720,"1,091",3,"1,814"
"Essex County",,,"2,707","1,975",3,"4,685"
"Fairfax County",,,"150,939","286,540",692,"438,171"
"Fairfax City",,,"3,548","6,502",13,"10,063"
"Falls Church City",,,"1,537","5,415",12,"6,964"
"Fauquier County",,,"22,134","11,732",28,"33,894"
"Floyd County",,,"5,161","2,275",11,"7,447"
"Fluvanna County",,,"7,119","5,247",7,"12,373"
"Franklin County",,,"17,508","6,154",18,"23,680"
"Franklin City",,,"1,275","1,659",0,"2,934"
"Frederick County",,,"24,901","11,302",25,"36,228"
"Fredericksburg City",,,"3,490","5,453",14,"8,957"
"Galax City",,,"1,393",515,1,"1,909"
"Giles County",,,"5,665","1,632",5,"7,302"
"Gloucester County",,,"12,572","4,712",11,"17,295"
"Goochland County",,,"9,573","4,909",13,"14,495"
"Grayson County",,,"5,064","1,118",5,"6,187"
"Greene County",,,"5,991","2,801",4,"8,796"
"Greensville County",,,"1,695","1,911",2,"3,608"
"Halifax County",,,"8,612","4,805",7,"13,424"
"Hampton City",,,"14,922","29,878",52,"44,852"
"Hanover County",,,"39,478","18,203",62,"57,743"
"Harrisonburg City",,,"4,443","6,795",14,"11,252"
"Henrico County",,,"55,822","82,161",159,"138,142"
"Henry County",,,"12,694","5,655",15,"18,364"
"Highland County",,,953,339,0,"1,292"
"Hopewell City",,,"3,095","3,130",12,"6,237"
"Isle of Wight County",,,"12,010","6,532",20,"18,562"
"James City County",,,"21,231","18,675",31,"39,937"
"King and Queen County",,,"2,089","1,145",5,"3,239"
"King George County",,,"7,286","3,362",10,"10,658"
"King William County",,,"6,240","2,291",3,"8,534"
"Lancaster County",,,"3,441","2,399",7,"5,847"
"Lee County",,,"6,305",891,8,"7,204"
"Lexington City",,,755,"1,305",3,"2,063"
"Loudoun County",,,"71,272","89,636",195,"161,103"
"Louisa County",,,"11,598","5,932",20,"17,550"
"Lunenburg County",,,"2,984","1,584",7,"4,575"
"Lynchburg City",,,"13,658","11,053",29,"24,740"
"Madison County",,,"4,686","1,990",3,"6,679"
"Manassas City",,,"4,990","6,238",22,"11,250"
"Manassas Park City",,,"1,368","2,209",4,"3,581"
"Martinsville City",,,"1,662","2,244",4,"3,910"
"Mathews County",,,"3,504","1,348",6,"4,858"
"Mecklenburg County",,,"7,902","4,064",10,"11,976"
"Middlesex County",,,"3,698","1,882",2,"5,582"
"Montgomery County",,,"16,867","15,613",43,"32,523"
"Nelson County",,,"4,211","3,416",14,"7,641"
"New Kent County",,,"8,544","3,484",8,"12,036"
"Newport News City",,,"21,473","32,381",72,"53,926"
"Norfolk City",,,"19,294","40,388",93,"59,775"
"Northampton County",,,"2,671","2,552",2,"5,225"
"Northumberland County",,,"4,136","2,340",6,"6,482"
"Norton City",,,860,325,4,"1,189"
"Nottoway County",,,"3,490","1,896",6,"5,392"
"Orange County",,,"10,630","5,398",18,"16,046"
"Page County",,,"7,480","2,045",11,"9,536"
"Patrick County",,,"5,889","1,293",4,"7,186"
"Petersburg City",,,"1,272","7,592",20,"8,884"
"Pittsylvania County",,,"19,396","6,428",15,"25,839"
"Poquoson City",,,"4,898","1,356",10,"6,264"
"Portsmouth City",,,"10,177","19,401",31,"29,609"
"Powhatan County",,,"12,529","3,779",15,"16,323"
"Prince Edward County",,,"3,861","3,209",9,"7,079"
"Prince George County",,,"8,544","4,613",8,"13,165"
"Prince William County",,,"64,250","88,335",165,"152,750"
"Pulaski County",,,"9,514","3,419",12,"12,945"
"Radford City",,,"2,234","1,923",12,"4,169"
"Rappahannock County",,,"2,463","1,721",2,"4,186"
"Richmond County",,,"2,212",961,0,"3,173"
"Richmond City",,,"16,246","63,199",156,"79,601"
"Roanoke County",,,"27,899","14,673",46,"42,618"
"Roanoke City",,,"11,898","16,941",57,"28,896"
"Rockbridge County",,,"6,825","3,152",6,"9,983"
"Rockingham County",,,"26,745","8,495",36,"35,276"
"Russell County",,,"8,121","1,469",4,"9,594"
"Salem City",,,"6,102","3,372",13,"9,487"
"Scott County",,,"6,973","1,056",8,"8,037"
"Shenandoah County",,,"13,566","4,627",19,"18,212"
"Smyth County",,,"8,439","1,742",9,"10,190"
"Southampton County",,,"5,079","2,710",7,"7,796"
"Spotsylvania County",,,"32,413","21,638",35,"54,086"
"Stafford County",,,"31,463","25,839",48,"57,350"
"Staunton City",,,"4,686","5,003",13,"9,702"
"Suffolk City",,,"17,476","19,016",41,"36,533"
"Surry County",,,"1,770","1,744",3,"3,517"
"Sussex County",,,"1,972","2,015",6,"3,993"
"Tazewell County",,,"11,992","1,850",1,"13,843"
"Virginia Beach City",,,"87,170","73,997",145,"161,312"
"Warren County",,,"11,203","4,421",27,"15,651"
"Washington County",,,"17,387","4,459",16,"21,862"
"Waynesboro City",,,"4,508","3,273",10,"7,791"
"Westmoreland County",,,"4,559","3,000",13,"7,572"
"Williamsburg City",,,"1,711","3,186",7,"4,904"
"Winchester City",,,"4,122","4,324",8,"8,454"
"Wise County",,,"9,570","1,867",11,"11,448"
"Wythe County",,,"9,308","2,167",11,"11,486"
"York County",,,"17,593","12,132",23,"29,748"
TOTALS,,,"1,658,332","1,608,030","3,796","3,270,158"
